station_code,station_name,longitude,latitude,zone,state,total_connections,in_degree,out_degree,degree_centrality
MYS,MYSORE JN,76.646013,12.318946,SWR,Karnataka,14,8,6,0.0015574591166981867
MRF,Marpalli,77.771485,17.54542,SCR,Andhra Pradesh,5,3,2,0.000556235398820781
MSS,Masarahalli,75.735905,13.804192,SWR,Karnataka,4,2,2,0.00044498831905662476
MPE,Malatipur,88.76282300000001,22.651892,ER,West Bengal,2,1,1,0.00022249415952831238
NPS,Napasar,73.56399,27.980942000000002,NWR,Rajasthan,4,2,2,0.00044498831905662476
MZU,Marandahalli,78.01732899999999,12.388944,SWR,Tamil Nadu,6,3,3,0.0006674824785849371
MXP,Malupota,75.965393,31.184014,NR,Punjab,2,1,1,0.00022249415952831238
MPG,Manpur Nagaria,78.818201,27.908304,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
MTND,Mattagajpur,85.946128,20.441551999999998,ECoR,Orissa,4,2,2,0.00044498831905662476
PAW,PANDABESWAR,87.277416,23.711965,ER,West Bengal,6,3,3,0.0006674824785849371
MYR,MAIHAR,80.763148,24.255485,WCR,Madhya Pradesh,9,4,5,0.0010012237178774058
NBUE,NIBKARORI,79.40995965580001,27.3287489158,NCR,Uttar Pradesh,4,2,2,0.00044498831905662476
PBN,PARBHANI JN,76.774119,19.257460000000002,SCR,Maharashtra,8,5,3,0.0008899766381132495
PAU,PURNA JN,77.024985,19.180526999999998,SCR,Maharashtra,9,4,5,0.0010012237178774058
OSN,OSIYAN,72.899779,26.729223,NWR,Rajasthan,4,2,2,0.00044498831905662476
NGTG,New Gitaldaha,89.5868746,26.0707762,NFR,West Bengal,2,1,1,0.00022249415952831238
PBM,PAMBAN JN,79.213482,9.279729,SR,Tamil Nadu,4,2,2,0.00044498831905662476
ORDI,ORDI,74.6304202759,24.835766629899997,WR,Rajasthan,4,2,2,0.00044498831905662476
NM,Naimisharanya,80.484435,27.355137,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
PALM,PALAIYAM,78.129081,10.718615000000002,SR,Tamil Nadu,5,2,3,0.000556235398820781
PHC,PANCHOT,72.339879,23.635161999999998,WR,Gujarat,4,2,2,0.00044498831905662476
NVLN,NAWALGOHAN,77.1232722153,19.7986346861,SCR,Maharashtra,6,3,3,0.0006674824785849371
NLE,NILESHWAR,75.13575,12.255885000000001,SR,Kerala,6,3,3,0.0006674824785849371
NWD,NAWADIH,85.54864500000001,24.886758,ECR,Bihar,8,4,4,0.0008899766381132495
NNGL,Naya Nangal,76.35421099999999,31.378961,NR,Punjab,4,2,2,0.00044498831905662476
JMM,JAIMURTINAGAR F,85.066065,26.836932,,,4,2,2,0.00044498831905662476
NAU,NADAPURAM ROAD,75.575581,11.639509,SR,Kerala,9,4,5,0.0010012237178774058
NHF,Nihasta Halt,80.92503500000001,26.212312999999998,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
PANP,PANDAVAPURA,76.681387,12.463018,SWR,Karnataka,8,3,5,0.0008899766381132495
NVU,NAVALUR,75.055491,15.415517999999999,SWR,Karnataka,7,4,3,0.0007787295583490933
NYY,NEYYATTINKARA,77.08111000000001,8.41041,SR,Kerala,4,2,2,0.00044498831905662476
NLQ,Nangal Pathani Halt,76.496786,28.364489,NWR,Haryana,4,2,2,0.00044498831905662476
NRJ,Narimogaru,75.29242739200001,12.7463856826,SWR,Karnataka,4,2,2,0.00044498831905662476
NRKP,Narkopi,85.0156235815,23.3756204426,SER,Jharkhand,4,2,2,0.00044498831905662476
GNS,Ghonsor,79.95091,22.658083,SECR,Madhya Pradesh,6,2,4,0.0006674824785849371
NNP,Nanpara Junction,81.512594,27.859887,NER,Uttar Pradesh,8,4,4,0.0008899766381132495
NMGY,Numaligarh,93.865713,26.601184,NFR,Assam,4,2,2,0.00044498831905662476
NPR,Nepalganj Road,81.60073,28.010872,NER,Uttar Pradesh,2,1,1,0.00022249415952831238
NKR,Nimar Kheri,76.150998,22.11119,WR,Madhya Pradesh,4,2,2,0.00044498831905662476
NTV,Nautanwa,83.42129700000001,27.42688,NER,Uttar Pradesh,2,1,1,0.00022249415952831238
NTM,Narthamalai,78.78913999999999,10.506577,SR,Tamil Nadu,4,2,2,0.00044498831905662476
PAQ,PADIYA NAQLA,78.90761,29.085837,NER,Uttarakhand,5,2,3,0.000556235398820781
PKNA,PAKHNA,79.304318,27.302522,NCR,Uttar Pradesh,4,2,2,0.00044498831905662476
PO,PARANGIPETTAI,79.73604499999999,11.476847000000001,SR,Tamil Nadu,4,2,2,0.00044498831905662476
PPH,PIPRI DIH,83.500574,25.879046,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
PPU,PIPARPUR,82.038949,26.137823,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
PSLP,PASALAPUDI,81.095153,16.470923000000003,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
OTR,MOTURU,81.051142,16.439968999999998,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
PDZ,PILIODA,76.86438199999999,26.606366,WCR,Rajasthan,5,3,2,0.000556235398820781
PJK,PANJ KOSI,74.057408,30.137676000000003,NR,Rajasthan,4,2,2,0.00044498831905662476
PKK,PAKKI,74.35550400000001,30.164759,NR,Punjab,4,2,2,0.00044498831905662476
NVT,NAVIPET,78.013194,18.770457,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
PGG,PENGANGA,77.1230451306,19.9603213601,SCR,Maharashtra,4,2,2,0.00044498831905662476
PBV,Paliba,82.695712,18.659914999999998,ECoR,Orissa,2,1,1,0.00022249415952831238
PDG,PARADGAON,76.14738700000001,19.629143,SCR,Maharashtra,6,3,3,0.0006674824785849371
PPDE,PANDU PINDARA,76.37130800000001,29.307976,NR,Haryana,4,2,2,0.00044498831905662476
PCL,Pulicherla,79.040396,13.598983,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
BNDA,BANDA JN,80.336246,25.477677,NCR,Uttar Pradesh,6,3,3,0.0006674824785849371
QRP,KILA RAIPUR,75.82748600000001,30.759177,NR,Punjab,4,2,2,0.00044498831905662476
PLCJ,PHALODI JN,72.36686300000001,27.124914,NWR,Rajasthan,6,3,3,0.0006674824785849371
PDR,Payagpur,81.776186,27.407067,NER,Uttar Pradesh,8,4,4,0.0008899766381132495
PRDG,PORADANGA HALT,88.2261646533,24.2602726462,ER,West Bengal,4,2,2,0.00044498831905662476
PAS,PASUR,77.85708699999999,11.236640999999999,SR,Tamil Nadu,5,3,2,0.000556235398820781
PSAE,PURBASTHALI,88.323896,23.453302,ER,West Bengal,5,3,2,0.000556235398820781
PNVT,PANCHARATNA,90.55599600000001,26.158866,NFR,Assam,5,2,3,0.000556235398820781
PPW,Pachperwa,82.657808,27.528038,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
PKB,PATHARKHOLA S,93.1029777271,25.7789313494,NFR,Assam,6,2,4,0.0006674824785849371
PNT,PANITOLA,95.2499423993,27.4967510918,NFR,Assam,13,8,5,0.0014462120369340306
PNGI,Panangudi,78.612621,9.921169,SR,Tamil Nadu,5,3,2,0.000556235398820781
PCH,PACHHAPUR,74.672174,16.093145,SWR,Karnataka,8,3,5,0.0008899766381132495
PLV,PALSI,74.111907,17.812195000000003,CR,Maharashtra,5,2,3,0.000556235398820781
PRSP,PRASADPUR,80.08117200000001,28.54694,NER,Uttar Pradesh,3,2,1,0.0003337412392924686
PJ,Peppeganj,83.294438,26.930569,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
PN,PANSAR,72.47975,23.307875,WR,Gujarat,4,2,2,0.00044498831905662476
PDY,Puducherry,79.828127,11.925445999999999,SR,Puducherry,4,2,2,0.00044498831905662476
PIS,Piska,85.20610187930001,23.3295427441,SER,Jharkhand,4,2,2,0.00044498831905662476
PFU,Padua,82.687882,18.396744,ECoR,Orissa,2,1,1,0.00022249415952831238
NUJ,Nujella,81.022402,16.386599,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
HT,Hotar,88.39900800000001,22.308540999999998,ER,West Bengal,4,2,2,0.00044498831905662476
PRSL,Pandrasali,85.806909,22.63341,SER,Jharkhand,4,2,2,0.00044498831905662476
PHM,Patapatnam,84.081469892,18.7407526287,ECoR,Andhra Pradesh,4,2,2,0.00044498831905662476
PM,PALAM,77.09295,28.585656,NR,Delhi NCT,6,3,3,0.0006674824785849371
PTAE,PATULI,88.25171385990001,23.5475854116,ER,West Bengal,4,2,2,0.00044498831905662476
BKIT,BINKADAKATTI,75.5954738599,15.4367140478,,,5,3,2,0.000556235398820781
PVR,PANDHARPUR,75.319283,17.66849,CR,Maharashtra,4,2,2,0.00044498831905662476
ROS,RAJOSI,74.671814,26.312897,NWR,Rajasthan,4,2,2,0.00044498831905662476
RJT,RAJKOT JN,70.803446,22.312206,WR,Gujarat,12,5,7,0.0013349649571698743
INDB,INDORE JN BG,75.868429,22.71757,WR,Madhya Pradesh,6,2,4,0.0006674824785849371
RGI,RAMGIRI,76.1254542236,13.9501446899,SWR,Karnataka,7,4,3,0.0007787295583490933
RBG,RAYBAG,74.80682566349999,16.483374512,SWR,Karnataka,7,3,4,0.0007787295583490933
SBNR,SHRI VIJAINAGAR,73.523389,29.240494,NWR,Rajasthan,8,4,4,0.0008899766381132495
PNHR,PANIHAR,78.014931,26.099221,WCR,Madhya Pradesh,9,5,4,0.0010012237178774058
KRBR,KERKHABARI,90.625041,26.300344,,,8,4,4,0.0008899766381132495
PVZ,Parvezpur,75.728178,28.510828,NWR,Rajasthan,4,2,2,0.00044498831905662476
PP,PURANPUR,80.150951,28.514911,NER,Uttar Pradesh,7,4,3,0.0007787295583490933
RKZ,RAJKIAWAS,73.52353600000001,25.75038,NWR,Rajasthan,7,3,4,0.0007787295583490933
RMGM,RAMANAGARAM,77.283451,12.720096,SWR,Karnataka,7,3,4,0.0007787295583490933
RKY,KOTHARIYA,70.81438200000001,22.176807,WR,Gujarat,5,3,2,0.000556235398820781
RBR,RIBADA,70.80095200000001,22.124961,WR,Gujarat,5,2,3,0.000556235398820781
CKA,Chak Pakhhewala,74.19716,30.434234,NR,Punjab,4,2,2,0.00044498831905662476
RN,RATNAGIRI,73.356938,17.002793,KR,Maharashtra,9,6,3,0.0010012237178774058
MIX,Manipuram Cabin,80.45759,16.29953,,,0,0,0,0.0
REJ,Rejinagar,88.259255,23.850089999999998,ER,West Bengal,4,2,2,0.00044498831905662476
RHMA,Rahama,86.405224,20.298605,ECoR,Orissa,4,2,2,0.00044498831905662476
RMPH,Rampahari,77.357146,26.2365,NCR,Madhya Pradesh,4,2,2,0.00044498831905662476
RDV,Radha Balampur,81.107034,26.083856,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
PUW,Patuwas Mehrana,76.33368800000001,28.557035,NWR,Haryana,4,2,2,0.00044498831905662476
RGU,Ragaul,80.129683,25.686945,NCR,Uttar Pradesh,4,2,2,0.00044498831905662476
PTYR,Patiyara,80.476502,26.627948,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
PUMU,Penumarru,80.77586000000001,16.131433,SCR,Andhra Pradesh,4,2,2,0.00044498831905662476
RNGG,Rangaliting,93.918286,26.656417,NFR,Assam,4,2,2,0.00044498831905662476
RYP,RAYANAPAD,80.562937,16.577504,SCR,Andhra Pradesh,9,6,3,0.0010012237178774058
RMD,RAMANATHAPURAM,78.83686200000001,9.358387,SR,Tamil Nadu,5,2,3,0.000556235398820781
SFPR,Safipur,80.35476700000001,26.744343999999998,NR,Uttar Pradesh,5,3,2,0.000556235398820781
RSH,Ratan Shahr,75.52398098632693,28.158119435028283,NWR,Rajasthan,4,2,2,0.00044498831905662476
JLY,Jhilmili,79.154333,22.054052000000002,SECR,Madhya Pradesh,4,2,2,0.00044498831905662476
SDD,SINDHAWADAR,70.894135,22.546528000000002,WR,Gujarat,7,3,4,0.0007787295583490933
SII,SITIMANI,75.865598,16.31992,SWR,Karnataka,4,2,2,0.00044498831905662476
SHSK,SAHARSRAKUND,78.00795299999999,19.402665,SCR,Maharashtra,5,3,2,0.000556235398820781
