station_code,station_name,hop_number,cascaded_delay,path,num_trains_affected
HWHG,HOWRAH GOODS,2,38.4,HWH → TPKR → HWHG,15
ROP,RUPSA JN,2,38.4,HWH → TPKR → ROP,11
ARD,AMARDA ROAD,2,38.4,HWH → TPKR → ARD,17
DSNR,DASHNAGAR,2,38.4,HWH → TPKR → DSNR,9
LEK,LAKHAKHERA,2,38.4,HWH → KTES → LEK,8
JNP,JAGAN NATHAPUR,2,38.4,HWH → GGTA → JNP,12
CHBT,CHAKARBHATHA,2,38.4,HWH → JPR → CHBT,13
BMAE,BELMURI,2,38.4,HWH → DNHL → BMAE,18
SBPY,SAMBALPUR CITY,2,38.4,HWH → SLRA → SBPY,14
DGB,DINDU GOPALA PURAM HALT,2,38.4,HWH → JPR → DGB,19
MFP,MUZAFFARPUR JN,2,38.4,HWH → GGTA → MFP,22
SZZ,SABIRA,2,38.4,HWH → JPR → SZZ,10
YAD,YEULKHED,2,38.4,HWH → JPR → YAD,7
GVN,GODAVARI,2,38.4,HWH → JPR → GVN,8
CND,CHANDUR,2,38.4,HWH → JPR → CND,10
BBM,BARABHUM,2,38.4,HWH → JPR → BBM,6
MPD,MADPUR,2,38.4,HWH → JPR → MPD,18
KGP,KHARAGPUR JN,2,38.4,HWH → JPR → KGP,26
KPL,KANTAKAPALLE,2,38.4,HWH → JPR → KPL,18
ROB,ROBERTSON,2,38.4,HWH → KGY → ROB,13
KAOT,KAOTHA,2,38.4,HWH → KGY → KAOT,9
JPQ,JHAPANDANGA,2,38.4,HWH → DNHL → JPQ,6
SHBC,SIBAICHANDI,2,38.4,HWH → LLH → SHBC,8
MRZA,MIRZA,2,38.4,HWH → AZA → MRZA,6
KYQ,KAMAKHYA,2,38.4,HWH → AZA → KYQ,26
BLY,BALLY,2,38.4,HWH → BZL → BLY,14
DKAE,DANKUNI,2,38.4,HWH → BZL → DKAE,12
ADL,ANDUL,2,38.4,HWH → BZL → ADL,15
CCRL,CC RLY LINK CAB,2,38.4,HWH → BZL → CCRL,8
SMCK,SHYAM CHAK,2,38.4,HWH → BZL → SMCK,17
JKPR,JAKHAPURA,2,38.4,HWH → JJKR → JKPR,20
CAP,CHATRAPUR,2,38.4,HWH → KGY → CAP,19
ANCR,ANCHURI,2,38.4,HWH → KGY → ANCR,6
AJNI,AJNI,2,38.4,HWH → KGY → AJNI,15
BEQ,BELUR,2,38.4,HWH → LLH → BEQ,7
ANV,ANNAVARAM,2,38.4,HWH → KGY → ANV,11
CJN,CHHATNA,3,30.7,HWH → KGY → ANCR → CJN,5
NZD,NUZVID,3,30.7,HWH → KGY → CAP → NZD,13
BQA,BANKURA,3,30.7,HWH → KGY → ANCR → BQA,7
TPF,TARAPITH ROAD,3,30.7,HWH → KGY → ANCR → TPF,11
KIS,KAPILAS ROAD,3,30.7,HWH → SLRA → NRG → KIS,13
MACR,MANGULI CHOWDWAR,3,30.7,HWH → SLRA → NRG → MACR,10
SQQ,SALAGAON,3,30.7,HWH → SLRA → NRG → SQQ,6
CHAR,CHARMAL,3,30.7,HWH → SLRA → NRG → CHAR,12
SPT,SOMPETA,3,30.7,HWH → KGY → CAP → SPT,17
WFD,WHITEFIELD,3,30.7,HWH → KGY → CAP → WFD,11
CLKA,CHILKA,3,30.7,HWH → KGY → CAP → CLKA,24
CAPC,CHATRAPUR COURT,3,30.7,HWH → KGY → CAP → CAPC,15
JER,JALESWAR,3,30.7,HWH → BSBP → BOP → JER,11
BBAE,BAIDYABATI,3,30.7,HWH → BSBP → BOP → BBAE,5
SUA,SARDIHA,3,30.7,HWH → KGY → NMP → SUA,10
DNL,DHANOLI,3,30.7,HWH → KGY → SKS → DNL,8
DKS,DAREKASA,3,30.7,HWH → KGY → SKS → DKS,6
SVPM,S VENKTESWRPALM,3,30.7,HWH → KGY → PVD → SVPM,10
SLO,SAMALKOT JN,3,30.7,HWH → KGY → PVD → SLO,14
TVT,TIRUVOTTIYUR,3,30.7,HWH → KGY → PVD → TVT,14
SSPN,SATYA SAI P NILAYAM,3,30.7,HWH → BSBP → KIG → SSPN,10
TKPL,TIKIRAPAL HALT,3,30.7,HWH → BSBP → KIG → TKPL,12
BLS,BALASORE,3,30.7,HWH → BSBP → NGRD → BLS,10
TTPT,TALCHER THERMAL,3,30.7,HWH → SLRA → NRG → TTPT,12
KOJ,KOKRAJHAR,3,30.7,HWH → KGY → VKD → KOJ,20
BLDA,BELDA,3,30.7,HWH → KGY → VKD → BLDA,18
NYA,NARAYANGARH,3,30.7,HWH → KGY → VKD → NYA,12
BEH,BAGDIHI,3,30.7,HWH → KGY → NMP → BEH,8
RLJC,RLJC,3,30.7,HWH → KGY → NMP → RLJC,13
CSY,COSSYE,3,30.7,HWH → KGY → NMP → CSY,8
KATB,KHATKURA,3,30.7,HWH → KGY → NMP → KATB,14
KPD,KATPADI JN,3,30.7,HWH → DNHL → BMAE → KPD,23
